qu (MPa),alpha
0.5,0.331884058
0.645715467,0.290144928
0.787026273,0.26115942
0.999586659,0.231014493
1.24800434,0.205507246
1.674520137,0.176521739
1.98573975,0.160289855
2.297166034,0.148695652
2.582009352,0.14057971
2.902503294,0.132463768
3.240874215,0.125507246
3.570332481,0.118550725
3.882017102,0.112753623
4.193753391,0.108115942
4.496628691,0.104637681
4.781730347,0.102318841
5,0.1
