qu (MPa),alpha
0.572605854,0.49884058
0.696246351,0.447826087
0.828902839,0.401449275
1.006174275,0.357391304
1.210364515,0.321449275
1.45028288,0.288985507
1.814900927,0.253043478
2.117466222,0.232173913
2.375571573,0.215942029
2.687127025,0.198550725
2.989924824,0.188115942
3.363946369,0.174202899
3.684621148,0.166086957
4.058746028,0.156811594
4.441757731,0.146376812
4.744684699,0.14173913
5,0.13826087
