qu (MPa),alpha
0.724146839,0.5
0.838952182,0.452463768
0.989537317,0.410724638
1.16686042,0.368985507
1.353225348,0.333043478
1.557673926,0.308695652
1.877754527,0.273913043
2.162442843,0.250724638
2.456095482,0.229855072
2.767676768,0.213623188
3.150559301,0.197391304
3.542380325,0.182318841
3.880802914,0.170724638
4.272727273,0.160289855
4.637991165,0.153333333
5,0.147536232
