qu (MPa),alpha
0.5,0.202028986
0.693972978,0.173043478
0.93352967,0.148695652
1.253506936,0.128985507
1.556020564,0.117391304
1.849673203,0.106956522
2.214678757,0.097681159
2.597612958,0.090724638
2.936035547,0.084927536
3.274509804,0.080289855
3.577385104,0.076811594
3.862538428,0.075652174
4.156501072,0.072173913
4.47730502,0.071014493
4.753442352,0.067536232
5,0.067536232
